DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2020-07-29,15:00:00,86040,20200729469004,1QFinancialStatements_Consolidated_US,1Q,2020-04-01,2020-06-30,2020-04-01,2021-03-31,,,514049000000,,,142516000000,46.77,45.65,41545394000000,2830643000000,0.067,909.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,true,false,,,3493562601,437566092,3047302930,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-10-28,15:00:00,86040,20201027409502,2QFinancialStatements_Consolidated_US,2Q,2020-04-01,2020-09-30,2020-04-01,2021-03-31,,,933391000000,,,210158000000,68.87,67.1,42684437000000,2786054000000,0.064,893.25,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,true,false,,,3493562601,435758440,3051543718,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-03,15:00:00,86040,20210203454417,3QFinancialStatements_Consolidated_US,3Q,2020-04-01,2020-12-31,2020-04-01,2021-03-31,,,1389263000000,,,308524000000,101.03,98.3,44592245000000,2853392000000,0.063,913.16,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,true,false,,,3233562601,174269424,3053730446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-04-27,15:00:00,86040,20210426400672,FYFinancialStatements_Consolidated_US,FY,2020-04-01,2021-03-31,2020-04-01,2021-03-31,2021-04-01,2022-03-31,1617235000000,,,153116000000,50.11,48.63,42516480000000,2756451000000,0.063,879.79,665770000000,-139026000000,-269927000000,3510011000000,,20.0,,15.0,35.0,,107116000000,0.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,true,false,,,3233562601,170407167,3055525640,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-30,15:00:00,86040,20210730474630,1QFinancialStatements_Consolidated_US,1Q,2021-04-01,2021-06-30,2021-04-01,2022-03-31,,,405172000000,,,48487000000,16.12,15.59,41830204000000,2804320000000,0.066,885.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,,,3233562601,139870716,3007328504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-10-29,15:00:00,86040,20211029420293,2QFinancialStatements_Consolidated_US,2Q,2021-04-01,2021-09-30,2021-04-01,2022-03-31,,,784381000000,,,51700000000,16.76,16.25,43346552000000,2801632000000,0.063,883.46,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,,,3233562601,138805921,3085218332,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-01,15:00:00,86040,20220201577316,3QFinancialStatements_Consolidated_US,3Q,2021-04-01,2021-12-31,2021-04-01,2022-03-31,,,1188133000000,,,112033000000,36.4,35.33,45215357000000,2879215000000,0.062,931.06,,,,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,,,3233562601,217785158,3077505526,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-04-26,15:00:00,86040,20220426528046,FYFinancialStatements_Consolidated_US,FY,2021-04-01,2022-03-31,2021-04-01,2022-03-31,2022-04-01,2023-03-31,1593999000000,,,142996000000,46.68,45.23,43412156000000,2972803000000,0.067,965.8,-1368710000000,-45301000000,1070715000000,3316408000000,,8.0,,14.0,22.0,,67015000000,0.471,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,,,3233562601,215758589,3063524091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-08-03,15:00:00,86040,20220802510506,1QFinancialStatements_Consolidated_US,1Q,2022-04-01,2022-06-30,2022-04-01,2023-03-31,,,409968000000,,,1696000000,0.56,0.52,48903281000000,3115125000000,0.062,1017.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,,,3233562601,229699910,3017845872,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11-02,15:00:00,86040,20221102555578,2QFinancialStatements_Consolidated_US,2Q,2022-04-01,2022-09-30,2022-04-01,2023-03-31,,,943820000000,,,18467000000,6.13,5.91,51531980000000,3227301000000,0.061,1053.91,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,,false,false,,,3233562601,232388716,3010633495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
