DisclosedDate,DisclosedTime,LocalCode,DisclosureNumber,TypeOfDocument,TypeOfCurrentPeriod,CurrentPeriodStartDate,CurrentPeriodEndDate,CurrentFiscalYearStartDate,CurrentFiscalYearEndDate,NextFiscalYearStartDate,NextFiscalYearEndDate,NetSales,OperatingProfit,OrdinaryProfit,Profit,EarningsPerShare,DilutedEarningsPerShare,TotalAssets,Equity,EquityToAssetRatio,BookValuePerShare,CashFlowsFromOperatingActivities,CashFlowsFromInvestingActivities,CashFlowsFromFinancingActivities,CashAndEquivalents,ResultDividendPerShare1stQuarter,ResultDividendPerShare2ndQuarter,ResultDividendPerShare3rdQuarter,ResultDividendPerShareFiscalYearEnd,ResultDividendPerShareAnnual,DistributionsPerUnit(REIT),ResultTotalDividendPaidAnnual,ResultPayoutRatioAnnual,ForecastDividendPerShare1stQuarter,ForecastDividendPerShare2ndQuarter,ForecastDividendPerShare3rdQuarter,ForecastDividendPerShareFiscalYearEnd,ForecastDividendPerShareAnnual,ForecastDistributionsPerUnit(REIT),ForecastTotalDividendPaidAnnual,ForecastPayoutRatioAnnual,NextYearForecastDividendPerShare1stQuarter,NextYearForecastDividendPerShare2ndQuarter,NextYearForecastDividendPerShare3rdQuarter,NextYearForecastDividendPerShareFiscalYearEnd,NextYearForecastDividendPerShareAnnual,NextYearForecastDistributionsPerUnit(REIT),NextYearForecastPayoutRatioAnnual,ForecastNetSales2ndQuarter,ForecastOperatingProfit2ndQuarter,ForecastOrdinaryProfit2ndQuarter,ForecastProfit2ndQuarter,ForecastEarningsPerShare2ndQuarter,NextYearForecastNetSales2ndQuarter,NextYearForecastOperatingProfit2ndQuarter,NextYearForecastOrdinaryProfit2ndQuarter,NextYearForecastProfit2ndQuarter,NextYearForecastEarningsPerShare2ndQuarter,ForecastNetSales,ForecastOperatingProfit,ForecastOrdinaryProfit,ForecastProfit,ForecastEarningsPerShare,NextYearForecastNetSales,NextYearForecastOperatingProfit,NextYearForecastOrdinaryProfit,NextYearForecastProfit,NextYearForecastEarningsPerShare,MaterialChangesInSubsidiaries,SignificantChangesInTheScopeOfConsolidation,ChangesBasedOnRevisionsOfAccountingStandard,ChangesOtherThanOnesBasedOnRevisionsOfAccountingStandard,ChangesInAccountingEstimates,RetrospectiveRestatement,NumberOfIssuedAndOutstandingSharesAtTheEndOfFiscalYearIncludingTreasuryStock,NumberOfTreasuryStockAtTheEndOfFiscalYear,AverageNumberOfShares,NonConsolidatedNetSales,NonConsolidatedOperatingProfit,NonConsolidatedOrdinaryProfit,NonConsolidatedProfit,NonConsolidatedEarningsPerShare,NonConsolidatedTotalAssets,NonConsolidatedEquity,NonConsolidatedEquityToAssetRatio,NonConsolidatedBookValuePerShare,ForecastNonConsolidatedNetSales2ndQuarter,ForecastNonConsolidatedOperatingProfit2ndQuarter,ForecastNonConsolidatedOrdinaryProfit2ndQuarter,ForecastNonConsolidatedProfit2ndQuarter,ForecastNonConsolidatedEarningsPerShare2ndQuarter,NextYearForecastNonConsolidatedNetSales2ndQuarter,NextYearForecastNonConsolidatedOperatingProfit2ndQuarter,NextYearForecastNonConsolidatedOrdinaryProfit2ndQuarter,NextYearForecastNonConsolidatedProfit2ndQuarter,NextYearForecastNonConsolidatedEarningsPerShare2ndQuarter,ForecastNonConsolidatedNetSales,ForecastNonConsolidatedOperatingProfit,ForecastNonConsolidatedOrdinaryProfit,ForecastNonConsolidatedProfit,ForecastNonConsolidatedEarningsPerShare,NextYearForecastNonConsolidatedNetSales,NextYearForecastNonConsolidatedOperatingProfit,NextYearForecastNonConsolidatedOrdinaryProfit,NextYearForecastNonConsolidatedProfit,NextYearForecastNonConsolidatedEarningsPerShare
2020-08-06,13:25:00,72030,20200706458355,1QFinancialStatements_Consolidated_IFRS,1Q,2020-04-01,2020-06-30,2020-04-01,2021-03-31,,,4600796000000,13920000000,,158843000000,56.87,56.87,55916537000000,21507667000000,0.37,,673252000000,-337617000000,2335157000000,6801561000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24000000000000,500000000000,,730000000000,261.15,,,,,,false,,false,false,false,,3262997492,467035101,2793273694,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-11-06,12:45:00,72030,20201106417206,2QFinancialStatements_Consolidated_IFRS,2Q,2020-04-01,2020-09-30,2020-04-01,2021-03-31,,,11375223000000,519981000000,,629368000000,225.21,223.81,56483801000000,21796070000000,0.372,,1289514000000,-1921821000000,2031585000000,5514438000000,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26000000000000,1300000000000,,1420000000000,508.0,,,,,,false,,false,false,false,,3262997492,467038225,2794624899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-02-10,13:25:00,72030,20210210460544,3QFinancialStatements_Consolidated_IFRS,3Q,2020-04-01,2020-12-31,2020-04-01,2021-03-31,,,19525255000000,1507922000000,,1468064000000,525.23,520.04,58010315000000,22633078000000,0.376,,1834089000000,-3689079000000,2196066000000,4479992000000,,105.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26500000000000,2000000000000,,1900000000000,679.71,,,,,,false,,false,false,false,,3262997492,467042131,2795071026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-05-12,13:25:00,72030,20210512412817,FYFinancialStatements_Consolidated_IFRS,FY,2020-04-01,2021-03-31,2020-04-01,2021-03-31,2021-04-01,2022-03-31,27214594000000,2197748000000,,2245261000000,803.23,794.67,62267140000000,24288329000000,0.376,8370.88,2727162000000,-4684175000000,2739174000000,5100857000000,,105.0,,135.0,240.0,,671029000000,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000000000,2500000000000,,2300000000000,164.52,false,,false,false,false,,3262997492,467048832,2795288446,11761405000000,699373000000,1886691000000,1638057000000,582.8,21198281000000,13894021000000,0.655,4797.77,,,,,,,,,,,,,,,,,,,,
2021-05-31,15:00:00,72030,20210531434443,FYFinancialStatements_Consolidated_IFRS,FY,2020-04-01,2021-03-31,2020-04-01,2021-03-31,2021-04-01,2022-03-31,27214594000000,2197748000000,,2245261000000,803.23,794.67,62267140000000,24288329000000,0.376,8370.88,2727162000000,-4684175000000,2739174000000,5100857000000,,105.0,,135.0,240.0,,671029000000,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000000000,2500000000000,,2300000000000,164.52,true,,false,false,false,,3262997492,467048832,2795288446,11761405000000,699373000000,1886691000000,1638057000000,582.8,21198281000000,13894021000000,0.655,4797.77,,,,,,,,,,,,,,,,,,,,
2021-08-04,13:25:00,72030,20210804478127,1QFinancialStatements_Consolidated_IFRS,1Q,2021-04-01,2021-06-30,2021-04-01,2022-03-31,,,7935558000000,997489000000,,897832000000,321.13,321.11,61651149000000,25016901000000,0.391,,958958000000,627100000000,-1691389000000,5013426000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000000000,2500000000000,,2300000000000,164.62,,,,,,false,,false,false,false,,3262997492,469248616,2795809951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-11-04,13:25:00,72030,20211104424252,2QFinancialStatements_Consolidated_IFRS,2Q,2021-04-01,2021-09-30,2021-04-01,2022-03-31,,,15481299000000,1747465000000,,1524484000000,109.28,109.28,61758833000000,25492413000000,0.398,,1872780000000,-216234000000,-1819473000000,4954834000000,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000000000000,2800000000000,,2490000000000,179.13,,,,,,false,,false,false,false,,16314987460,2464210770,13950175679,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-09,13:25:00,72030,20220204580837,3QFinancialStatements_Consolidated_IFRS,3Q,2021-04-01,2021-12-31,2021-04-01,2022-03-31,,,23267041000000,2531835000000,,2316222000000,166.45,166.45,63618063000000,25854724000000,0.392,,2641508000000,174240000000,-2252218000000,5770225000000,,120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29500000000000,2800000000000,,2490000000000,179.25,,,,,,false,,false,false,false,,16314987460,2496246556,13915169719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-05-11,13:25:00,72030,20220510538057,FYFinancialStatements_Consolidated_IFRS,FY,2021-04-01,2022-03-31,2021-04-01,2022-03-31,2022-04-01,2023-03-31,31379507000000,2995697000000,,2850110000000,205.23,205.23,67688771000000,27154820000000,0.388,1904.88,3722615000000,-577496000000,-2466516000000,6113655000000,,120.0,,28.0,,,718211000000,0.253,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33000000000000,2400000000000,,2260000000000,164.03,false,,false,false,false,,16314987460,2536685916,13887347864,12607858000000,1129689000000,2171530000000,1693947000000,121.98,20991040000000,14607272000000,0.696,1060.16,,,,,,,,,,,,,,,,,,,,
2022-08-04,13:25:00,72030,20220729507734,1QFinancialStatements_Consolidated_IFRS,1Q,2022-04-01,2022-06-30,2022-04-01,2023-03-31,,,8491116000000,578655000000,,736820000000,53.65,,71935191000000,28308543000000,0.381,,764087000000,-450912000000,-73721000000,6685012000000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34500000000000,2400000000000,,2360000000000,171.95,,,,,,false,,false,false,false,,16314987460,2592620246,13732568596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
